Plateforme,Avis,Notes sur 5
remote.com,"Worst customer service in the world.I've been asking for form T220  for a month and nobody wants to help me. Customer service is not responsive. No way to contact them. It is responsibility of remote.com to provide their employees with form T220 for tax filing. They won't even provide it . They keep on saying technical glitch for more than a month now. Avoid this company please!!Date of experience: February 18, 2024",4
remote.com,"Amazing support!I can't stress enough how excellent, responsive and prepared is the support you receive on this platform. Special shout out to: Maryann, Hakan and Jaime which were amazing all the way from my Onboarding till today.Date of experience: January 31, 2024",4
remote.com,"Great support!The support team was very helpful and did their best to arrange the call that works for my time zone. We were able to set up the remote session and fix an issue within a few minutes. Thanks a lot!Date of experience: February 09, 2024",4
remote.com,"Great company and friendly staffI've had a wonderful experience with Remote.com so far. I have been in touch mostly with Hakan, who was very friendly, attentive and very quick to respond, even late at night and on bank holidays which was not expected at all! Thank you Hakan for all your help and for making the onboarding process a lot easier for me:)Date of experience: December 28, 2023",4
remote.com,"This company's incompetence is beyond…This company's incompetence is beyond belief. Not only did they manage to screw up my last payslip, but their so-called ""support"" team regurgitates mindless phrases without a shred of actual understanding about payroll matters. It's a farce. They can't even provide a clear explanation about taxes deducted, and to top it off, they have the audacity to claim they'll ""rectify"" their mess a whole month later. Working for a company through remote.com has been nothing short of a nightmare with these buffoons. One problem after another!Save yourselves from the frustration and utter lack of professionalism that defines this sorry excuse for a company.Date of experience: January 31, 2024",4
remote.com,"Available support and great helpcenter…Available support and great helpcenter set up to manage our taks for our staff via remoteDate of experience: February 02, 2024",4
remote.com,"Smooth platform making complex employment law look easy!From start to end, the onboarding required a lot of information from French employment laws, but it all went really well thanks to the support from Remote. Special thanks to Tom Bosse for going above and beyond with this process! Also, the platform is very user friendly, works really smooth and my employer finds it unburdens them from a lot of legal hassle. Big plus !Date of experience: September 07, 2023",4
remote.com,"Great customer support!Just wanted to drop a line to say how amazing Adriana from the customer support team has been. She's been a superstar, helping me sort out my application process in a friendly and approachable manner!She took all my concerns in stride and provided solutions that were on point. It felt like having a friend guide me through the process!Date of experience: July 24, 2023",4
remote.com,"Remote is proactive and convenientRemote is an excellent platform. Their processing fees is low and their customer support team is proactive and extremely helpful. It's good knowing that people have your back even in situations where you don't know you needed help.Date of experience: August 22, 2023",4
remote.com,"Since day 1 amazing business partner!Since day 1 working with Remote is easy, transparent and solution focused.From hiring new employees to change requests: Remote is truly up to speed, always gentle, always working hard to provide a solution. We are grateful to work with the Remote service. It helps us a lot to grow and hire the talents we need in locations where we don't have an entity. Absolutely to recommend! :)Date of experience: July 18, 2023",4
remote.com,"Quick resolution and awesome communicationI was having trouble getting my salary deposited because I switched bank accounts. I reached out to support and got help from Akshatha. She did an amazing job at communicating frequently and effectively, setting expectations and making sure I was calm and things would get resolved. My issue was resolved in two business days and honestly thought it’d take much longer which was stressing me a bit. Now I can have more confidence that things would get quickly resolved in the future if needed be.Date of experience: July 18, 2023",4
remote.com,"Great support experienceGreat support experience, I felt guided and accompanied for the whole process of my request, which was rather complex. Thank you so much JaimeDate of experience: December 29, 2023",4
remote.com,"Remote Employment - GreatI have had a great experience with completing and signing my contract through this company. The person I had been in contact with was present, attentive, and caring towards me and my needs. Not only that but when she observed that I was taking too long to sign the contract, she contacted me to let me know once again she was there if I needed any help or clarifications. It was an overall pleasant experience.Date of experience: October 04, 2023",4
remote.com,"Remote Experience in JapanRemote account manager has been very helpful, working together to push everything forward in a smooth way.Date of experience: January 12, 2024",4
remote.com,"Shuchi is so great to work withWorking with Shuchi from Remote has been an absolute pleasure. She is highly responsive and incredibly efficient in addressing any concerns that arise. I had some inquiries about tax forms, and she readily scheduled a call to guide me through the process. Thanks to Shuchi's support, I felt assured and confident throughout my experience with remote. She truly made me feel like I was in excellent hands.Date of experience: July 04, 2023",4
remote.com,"As en empolyer of Remote I am impressed…As en empolyer of Remote I am impressed by their follow-up on things that were unclear to me or not accurately executed when it comes to my payments. The Remote team is communicating frequently and keeping me up to date on the progress of my requests. Fast resolution is the crux of the matter and I acknowledge Reomte is speedy to get things resolved which make them a reliable partner. A special thank you to Jaime and Juliana!BR Vincent Harmsen/ReltioDate of experience: August 30, 2023",4
remote.com,"This company does not have a clue on…This company does not have a clue on what they are doing! They have hunted me several weeks for a payment which I have done weeks ago. Clearly they have no control over in and outcome payments, which is just sad.Date of experience: February 02, 2024",4
remote.com,"Great Support - Special Thanks to UcheI want to give Uche from Remote a huge thank you for his amazing work. I requested work-related documents and he showed immense care, support and speed in responding to my request. I applaud Remote for having professional people like Uche!Date of experience: September 15, 2023",4
remote.com,"As an affiliate partner of Remote…As an affiliate partner of Remote through Impact.com (170357), I was paid a commission amount which as per the record of Impact.com showing that they initiated international wire transfer on 21 August 2023. At the time of writing more than 5 working days passed and money not yet credited into my bank account. I am choosing this platform to raise issue as I am not sure how else to communicate with the Remote team that is otherwise superhelpful. Your prompt action to check highly appreciated as being a small businessman, I have urgent costs to meet.Date of experience: August 28, 2023",4
remote.com,"Very happy of the services of RemoteVery happy of the services of Remote. As a finance department, we always get a quick reply, to the point, and if necessary they go further than they should, just to help us out. The employee themselves are always correctly paid out as well.Date of experience: August 09, 2023",4
remote.com,"Uche was super active and most…Uche was super active and most importantly very much willing to help me on my every query.Remote has a great team that truly cares for their employees and clients.Thank you so much everyone involved.Date of experience: October 03, 2023",4
remote.com,"Great experience, recommend 100% for foreign payroll etcSo far my experience with remote has been great. As a foreign employee of my employer, an Irish company, everything was handled fast, efficiently and they solved every issue. I especially recommend Brigitte, the whole team is very friendly in general.Sometimes I received emails which were not meant for me, but that can happen:)Date of experience: July 22, 2023",4
remote.com,"Assistance provided with positive outcome.I had somme issues with my online account and Onyinye from Remote went above and beyond to ensure that I would get the information and assistance needed. She took the time to explain ,provided me with all the assistance to help resolve my problem.  She is clearly a great asset to Remote so thank you Onyinye!!!!!!Date of experience: July 26, 2023",4
remote.com,"Mostly my experience with Remote has…Mostly my experience with Remote has been wonderful and friendly. When a problem arises they get solved quickly or attempt to do so. Today I was helped by Ichith Swaminathan. I had a rather complex issue and even though it may not be solved, they still provided the patience and care to help out properly.Date of experience: July 21, 2023",4
remote.com,"Great customer serviceGreat customer serviceWant to especially highlight Chizoba Azubogu's work in helping me navigate the complexities of onboarding and compliance as a new employee. I ran into issues with US insurance that I had no idea how to navigate on my own, Chizoba gave me detailed instructions within minutes of sending a support request. I had only one day to make changes to my insurance plan, and they were there to provide me with the support I needed!Date of experience: August 24, 2023",4
remote.com,"Good communication and smooth…Good communication and smooth onboarding. More to be seen as I only started. Thanks to Remote I don't need to be a freelancer, relocate or pass an interesting working opportunity as they make remote employment easier. Their communication was very good, I was informed about every step, everything was explained to me well and I had a chance to ask questions. Their onboarding platform is easy to navigate. Onboarding process may have been slightly easier if it was bilingual as the translation was sometimes confusing.Date of experience: October 23, 2023",4
remote.com,"Annual income statementGreat communication with Jaime Duran regarding my annual income statement.Date of experience: February 23, 2024",4
remote.com,"A team member helped me with paystubsThe team member reached out to me proactively to resolve the issue, prompt responses and understood exactly that needed to be done. Great job! Something that saves my time is saving me money so thank you 🙏🏻Date of experience: August 28, 2023",4
remote.com,"Quick resolutionThe service was incredibly prompt. I received employer approval to merge multiple PF accounts into one under a single UAN in less than one working day. Remarkably, they handled two different requests within the span of a single working day!Date of experience: August 23, 2023",4
remote.com,"Requested a copy of a formI requested a copy of a form, and they have been very kind and promptly assisted me with my concern. They also keep me updated on the status of my request, and made sure that I received it. Their payroll client services really helped me a lot.Date of experience: September 21, 2023",4
remote.com,"Appreciation for Timely Issue ResolutionI wanted to take a moment to express my appreciation for the prompt and effective resolution of my recent issue. I reached out with a problem, and Remote team's quick response and efficient handling of the situation exceeded my expectations. Thank you once again for your outstanding support, especially Sunal Arora.Date of experience: October 08, 2023",4
remote.com,"Follow through strongThe follow through on Remote's team was good.  While there was some confusion and differing views on whether something needed to be done, the team kept research and asking the specialists until all were in consensus.Date of experience: September 20, 2023",4
remote.com,"Quick human response to my simple (but…Quick human response to my simple (but important) query, plus Uche send along a quick read which helped answer future questions!Date of experience: August 31, 2023",4
remote.com,"Great serviceGreat service! Remote team help me with an issue with mi bank coda and my SWIFT code. Fast and efficient communication.Date of experience: October 10, 2023",4
remote.com,"Great customer support!I'd always had poor HR experience with my previous employers.Now I'm employed through Remote and couldn't be happier.Never had any issue with Remote, their support team is amazing!Date of experience: September 28, 2023",4
remote.com,"Great service!Great service, fast replies to get everything done, lots of transparency when things are not clear and a super nice and dedicated staff, Ekaette was especially devoted to my case and ensured its resolution while keeping me updated of it’s progress.Date of experience: December 29, 2023",4
remote.com,"Exceptional Support: Going Above and Beyond for My InquiryI was thoroughly impressed with the exceptional level of support I received for my inquiries. EKA was incredibly responsive and went above and beyond to address my questions promptly. Her knowledge and willingness to assist left a lasting positive impression on me. It's rare to encounter such dedicated and helpful support, and I truly appreciate the effort they put into ensuring my concerns were resolved. Kudos to the support team for their outstanding service!Date of experience: August 21, 2023",4
remote.com,"The on-boarding process was easy and…The on-boarding process was easy and user friendly every step of the way. Shuchi Kumar provided guidance and made it very easy to communicate throughout the entire process.Date of experience: August 17, 2023",4
remote.com,"Fantastic customer supportFantastic customer support through Akshatha.Queries on our employment agreements were resolved quickly and efficiently. Communication was easy via chat and email.Great to see a good product being supplemented by best in class humans.Date of experience: July 21, 2023",4
remote.com,"Terrible service that does not comply with labor regulationsIt is a good service until you need anything from them. Their support system is a total disaster and a waster of time. They are a proxy between you and your country's team. Imagine having a conversation through a person who doesn't know anything at all about your country labor legislation and that every question takes a day to answer because they need to confirm with a specialized team. Also, be aware, if you work in Spain, Remote does not comply with the Spanish Labor regulations, IE: They don't track working hours, they don't apply the changes to  the working agreements announced by the government, they don't comply with the  CBA maximum, they don't offer the medical checks every year, etc. Problem is, they don't even know most of these things, you need to create support cases proving how they have to do their HR job, which is a shame.I really hope they get a labor inspection and they receive the sanction they deserve.Date of experience: December 20, 2023",4
remote.com,"Great Experience, with one-to-one help from onboarding specialistShuchi, my onboarding specialist was always available for help while I was registering for my new role through remote.  Her responsiveness and knowledge helped me resolve any query I had quickly and sped up my onboarding process.Date of experience: July 20, 2023",4
remote.com,"E-onboarding with Remote.comThe e-onboarding process was really swift. My direct contact was guiding me carefully during the process and was taking care of every detail. The overall experience was very positive!Date of experience: September 22, 2023",4
remote.com,"Support heltI needed help from the support to do some changes in our company information and Shameem did a great job - not only solving the issue but beeing really nice and constructive doing it.Date of experience: November 10, 2023",4
remote.com,"Support on contract salary changeChina was very responsive and guided me well even when he was saying no to my requests.He always gave a reason as to why we could not go ahead with my requests.Date of experience: August 10, 2023",4
remote.com,"They take deductions without any…They take deductions without any explanation, payslip layout changes with minimal information and when you need to contact them its through a Bot designed by a child followed by days to respond. Stand by for the cut and paste response on how they want to help rubbish....Date of experience: November 22, 2023",4
remote.com,"Inactive Customer service, keep passing the blames to other internal teamsPrevious reviewhttps{://}trstp.lt{/}QUBnsUbiT This was never solved(Wrongly updated by remote customer agent reply). Still waiting for the resolution. After going through numerous calls and mails, they stopped replying. Last reply I got from their customer agent was on Aug 21. Not a great experience at all.Date of experience: September 20, 2023",4
remote.com,"Booking free days with RemoteBooking free days with Remote was easy. After booking I have been contacted in order to double-check a category of the free days which we have a few in a country.This was done in a fast, professional and easy way.Date of experience: July 18, 2023",4
remote.com,"FS3 for MaltaI have mixed experiences working with Remote on various issues during the last few months, but I did appreciate Christina's help in obtaining an FS3 for a leaver. She did respond quickly even if she did not have information she needed as quickly as we needed it.Date of experience: September 01, 2023",4
remote.com,"Overall, a good service.In general, it's a good service. Some things with onboarding took somewhat longer than expected (it would be nice to agree on the work contract's details within a couple of days and make corrections promptly, not within a week or so), but the salary has always been paid on time. Interestingly also, after a spent tax year, the government tax agency of the country where I'm now returned me an amount of money because it found overwithholding taxes on my income by Remote -- it would be nice to be taxed accurately, without overwithholding.Date of experience: August 11, 2023",4
remote.com,"Easily adapts to your policiesremote.com easily adapts to your company's policies to make the employee experience as similar as possible to your company's.Date of experience: January 12, 2024",4
remote.com,"Very good assistance!Jaime took my case seriously, and with a lot of patience could give me a good solution! Very communicative and detailed :)Date of experience: September 15, 2023",4
remote.com,"Had a great experience with ChristopherHad a great experience with Christopher D.! He was super fast in answering my questions. Big thanks to Chris for being on the ball!Date of experience: August 03, 2023",4
remote.com,"I’m new with Remote and my bank details…I’m new with Remote and my bank details was seems not set correctly, Akshatha helped me by step by steps and followed up until successfully received on my bank account.Date of experience: July 31, 2023",4
remote.com,"Jaime Morugan Duran was very supportive…Jaime Morugan Duran was very supportive and helpful throughout the conversation.Thank you Jaime!Date of experience: January 19, 2024",4
remote.com,"The team is very responsive and they…The team is very responsive and they made my transition a smooth experience. Big thank you to Akshatha and Diana for all the support!Date of experience: October 11, 2023",4
remote.com,"Superior customer serviceSuperior customer service! Brigitte had excellent knowledge of the respective countries laws and helped us remain complaint with all our issues.  She was very personable and a pleasure to work with, and worked diligently to solve all our issues!Date of experience: July 31, 2023",4
remote.com,"Great Payroll Costumer SupportChristina form Payroll Client Services Team gave me very detailed clarification regarding an issue I have. She is a great example of a perfect costumer service: very fast, detailed and helpful.Date of experience: July 23, 2023",4
remote.com,"Swift feedback and resolution of querythe person who dealt with my query was knowledgeable and acted swiftly to resolve this.  once my query was resolved, there was an immediate feedback regarding this.Date of experience: July 20, 2023",4
remote.com,"Very helpfulJennifer was really worried about my request, she tried to solve it as fast as possible and being in contact with me until the issue was solved, she was very kind and helpful.Date of experience: August 30, 2023",4
remote.com,"Great support by BrigitteI had a great experience dealing with Brigitte. She responded quickly to all of my questions and even tried to find a solution when I had questions outside of the service Remote offers.Date of experience: July 20, 2023",4
remote.com,"Great response and supportive teamDate of experience: February 12, 2024",4
remote.com,"Great customer supportQuick response and made sure that my issue was resolved as soon as possible. Made sure I was updated with every news regarding my issueDate of experience: September 04, 2023",4
remote.com,"Not a trustworthy serviceAbsolutely unreliable and clueless. They failed us to inform us about important information during the hiring process (""because it is not mandatory"") and as a result of that we may face huge liabilities in a country where we don't even have presence. Not only that but it took us almost 8 weeks to finally talk to any person via any other mean that is not email. They're just brokers between you and the employees and like any other broker, they are not interested in anything but on getting their fee, so they'll wash their hands on any matter and you'll be left alone.Date of experience: October 26, 2023",4
remote.com,"The onboarding was good and so was the…The onboarding was good and so was the offboarding. The only big downside was that one of our new employees was rejected for no apparant reason at all. Remote claimed that this new employee did not have the proper visa, but he did. This was also later on confirmed by Multiplier, another EOR that we had to use to hire this employee.Date of experience: August 17, 2023",4
remote.com,"Great Support!I had a rather unique circumstance with deductions and Remote handled it expeditiously and with a sense of urgency. Great Job!!Date of experience: August 30, 2023",4
remote.com,"Akshatha Rajendra Shetty from Remote…Akshatha Rajendra Shetty from Remote Support was extremely proactive, thorough and patient with all my repeated queries. She ensured complete transparency throughout the communication chain and was able to build my trust in a span of days.Date of experience: September 29, 2023",4
remote.com,"I have been using the ""remote.com""…I have been using the ""remote.com"" service in my country for over a year. So far I'm having a very good experience.Date of experience: October 10, 2023",4
remote.com,"Akshatha is a superstarTo be honest, it took like 3 weeks to resolve one simple problem - but Akshatha made the experience pleasant - Akshatha was really patient and updated me constantly despite the delay. Akshatha was friendly and professional and always had a positive attitude the whole way!Date of experience: July 20, 2023",4
remote.com,"Great supportIt's very ease to clarify something or get some answers with remote support. People are very friendly and helpful.Date of experience: August 04, 2023",4
remote.com,"Eka was very supportive and helpful…Eka was very supportive and helpful throughout the conversation.Thank you Eka!Date of experience: January 11, 2024",4
remote.com,"the features and ease of use also the…the features and ease of use also the support is available all the time also the cost of service is affordable.Date of experience: November 11, 2023",4
remote.com,"Things work, until they don't.Things work, until they don't. When they don't you quickly finding yourself explaining the situation for 10 times and reminding the company what they agreed to. Then your complaint gets lost in the internal chaos at remote, and a week later you're back to square one.Date of experience: January 30, 2023",4
remote.com,"Excellent supportCommunication from the remote.com side was very quick about a bank account issue and the response from the support person was excellent, thorough and quickDate of experience: August 23, 2023",4
remote.com,"I received a very good service from…I received a very good service from Chizzy. She is very quick and supportive in her responses. She makes sure open ticket is handled and resolved quickly.Date of experience: August 22, 2023",4
remote.com,"Amazing Customer ServiceRemote.com is the best! Very easy to use and navigate! The best part is the customer service! They're super responsive and helpful!Date of experience: August 08, 2023",4
remote.com,"Exemplarary Customer ServiceSunal provided exemplary customer service by consistently delivering prompt follow-ups with comprehensive information tailored to my specific query. His deep understanding of my question allowed him to address every aspect of it in great detail, leaving no room for further clarification. Sunal's diligent and thorough approach to his work truly impressed me, and I want to express my gratitude for his exceptional service. Thank you, Sunal!Date of experience: September 05, 2023",4
remote.com,"Good supportAkshatha not only answered my questions but also kept trying to help me while he was waiting for me to reply to the emails. Really proactive!Date of experience: July 20, 2023",4
remote.com,"Professional answers and responsiveProfessional answers and responsive Uche provided me very professional answers regarding my payroll questions, detail oriented, also very responsive with my follow up questions. Thank you so much again!Date of experience: August 07, 2023",4
remote.com,"HR information given in no time at allPatricia from HR team Spain supported me really well with quick and accurate information that I was able to proceed with my work immediately.Thanks Patricia!Date of experience: October 11, 2023",4
remote.com,"In my function as department headIn my function as department head, management of team members on remote contracts is easy and full transparent. Certainly support it.Date of experience: August 23, 2023",4
remote.com,"Great supportHad an issue which was resolved by Toyin from customer support. The process was fast, and communication was great, I was updated almost every day.Date of experience: August 02, 2023",4
remote.com,"Great experienceI want to share my positive experience with the customer service team ( Chizzy ). Despite the issue being entirely my fault, she went above and beyond to assist me and ensure a smooth resolution. She turned a potentially frustrating situation into a seamless interactionDate of experience: August 17, 2023",4
remote.com,"I am very happy with the customer…I am very happy with the customer support. Maycon Ghiraldi responded very promptly to my query and it was very clarifying for me.Date of experience: August 21, 2023",4
remote.com,"Remote.com only care about the fees…Remote.com only care about the fees they are being paid and have no interest in anything else. The company who I worked for missed payment which was the company's fault and not Remote's but my contract was terminated with no warning and just an email with termination at that point- nothing before or after. My final salary was taxed incorrectly but they have no duty of care to me as an 'employee' as they have just refused to look at the error and referred me to the HMRS to correct their mistake. I cannot believe how poor the communication was to me from Remote with no interest to correct anything. Be wary about what could happen to you if your company wants to use Remote service. I do not want to put my name on this review as there is many aspects I would not want to share publicly with my nameDate of experience: September 13, 2023",4
remote.com,"Always responsive to all my queriesAlways responsive to all my queries. Sometimes it will go a little side track in not answering the complete question, but later upon in-detail discussion, I would get the end result which is satisfactory. Appreciate all the patience in addressing the issues.Date of experience: July 21, 2023",4
remote.com,"Understanding of zakat needsMy issue was regarding zakat deductions and Remote being an international entity, i was concern that i had to justify my religious need for a zakat deduction. Luckily there was no need as Aksh was understanding and swift in his updates and actions. Thank you!Date of experience: July 18, 2023",4
remote.com,"Thank you ChinaI have been dealing with China on resolving some issue on one of our employee and I can see that I cannot be happier on the support we receviedDate of experience: July 14, 2023",4
remote.com,"I am very happy with RemoteI am very happy with them, they are quick to respond and always solve my problems in the most efficient way.Date of experience: August 01, 2023",4
remote.com,"Excellent supportI really appreciated to get immediate feedback and to find a full support on every question I asked about my contract!Excellent serviceDate of experience: August 30, 2023",4
remote.com,"Short & SweetThe email received was straight to the point, easy to understand and Akshatha was short and sweet in her communication.Date of experience: August 24, 2023",4
remote.com,"Great first experience with the Support teamChristopher was very thoughtful and polite. He provided the information I needed and followed up until my issue was resolved.Date of experience: August 07, 2023",4
remote.com,"consistent pay issuesI have been with remote for 3 months and every single month there has been an issue with my payslip and pay.Support is extremely slow to respond Very very disappointingDate of experience: December 04, 2023",4
remote.com,"OnboardingAlthough the bureaucracy has been pretty stressful, the onboarding member that helped me through - Andrea - has always been very kind and helpful, allowing me to overcome all the troubles.Date of experience: August 10, 2023",4
remote.com,"sunal was very quick and polite with…sunal was very quick and polite with the resolution of my query. Highly appreciatedDate of experience: October 17, 2023",4
remote.com,"Support team really tries to help you…Support team really tries to help you and solve your problem. Moreover they warn you if something happened (even before you know about it)Date of experience: July 12, 2023",4
remote.com,"Absolutely appaling serviceAbsolutely appaling service - 70 emails back and forth and keep being passed around to different people who clearly do not even read the thread. Avoid like the plague .......Date of experience: July 21, 2023",4
remote.com,"Lost but Found!Employee could not locate salary due to the new process. After sending information to reference, he fortunately did and the issue was resolved incredibly quickDate of experience: August 08, 2023",4
remote.com,"Comprehensive, clear, swift  personalized responseSwifte, comprehensive response adressing all my questions and anticipating additional information I could need. Excellent knowledge and personal support. Gracias!Date of experience: January 25, 2024",4
remote.com,"It was great experience to communicate…It was great experience to communicate and receive all possible support. All issues are resolved. Thanks for all support.Date of experience: October 04, 2023",4
remote.com,"Amazing Experience with Luane AlbuquerqueI had an amazing experience Luane Albuquerque. She was incredibly helpful with answering my questions and was extremely quick with her responses.Date of experience: August 09, 2023",4
remote.com,"Very bad serviceVery bad service. It takes weeks to terminate an agreement and they try to rip you and your employees off with extra charges at the end of employment. Very disappointing.Date of experience: July 19, 2023",4
remote.com,"Extremely friendlyExtremely friendly, fast support. Patience as well as great advises :)Date of experience: October 20, 2023",4
remote.com,"Remote executive Sunal came through…Remote executive Sunal came through big time, thanks for the constant support and assist!Date of experience: August 25, 2023",4
remote.com,"Adriana is the best!!Adriana Cespedes was great! She was very helpful and really went above and beyond!!Date of experience: August 17, 2023",4
remote.com,"Remote is an exceptional company that…Remote is an exceptional company that is revolutionizing the way we work and connect. Their visionary approach to remote work is truly inspiring.They have created opportunities for individuals to thrive in their careers while maintaining a healthy work-life balance.What sets Remote apart is their commitment to building a strong remote community. They foster a sense of belonging and camaraderie among their employees, even though they may be geographically dispersed. Their virtual team-building activities and inclusive culture truly make Remote a remarkable company to be a part of.Furthermore, Remote's dedication to providing top-notch support and resources for remote workers is commendable. They prioritize the well-being and success of each individual, offering helpful tools and guidance to ensure a smooth remote work experience.In conclusion, Remote is a trailblazer in the remote work industry, setting the standard for excellence. Their vision and commitment to empowering remote workers is truly exceptional, making them a company worth celebrating.Date of experience: October 04, 2023",4
remote.com,"The service provided by Remote is… exceptional!The service provided by Remote is exceptional, they answer all your questions almost immediately and even provide contact during the weekends which is a real help if there are time constraints involved.Date of experience: July 30, 2023",4
remote.com,"Sunal ProfiencySunal was transparent and quick in her reply. Thanks a lotDate of experience: January 24, 2024",4
remote.com,"Shetty responded very quickly to all of…Shetty responded very quickly to all of my questions and was friendly and helpful. Thank you!Date of experience: August 03, 2023",4
remote.com,"Customer SupportWas in contact with Yemi from the Customer Support regarding my Billing Query and I would say she's one of the best customer care specialist I've interacted with in my journey.Date of experience: August 16, 2023",4
remote.com,"Prompt response and quick resolutionPrompt response and quick resolution. Always ready to hear employees and giving workable efficient solutions.Date of experience: January 05, 2024",4
remote.com,"Great Support ExperienceI had the pleasure of interacting with Chizoba from customer support, and I must say that their assistance was truly commendable. Chizoba's thoughtfulness and politeness stood out during our communication, skillfully provided me with the required information and stayed engaged until my issue was successfully resolved.Date of experience: August 08, 2023",4
remote.com,"How modern remote work management should look likeThe modern online Dashboard presents the available information and/or requests for my actions with 95% clarity. The remaining 5% are (inevitable) corner cases and for these, the helpful support team always reacted promptly and provided  supplemental information or corrections.Date of experience: July 18, 2023",4
remote.com,"Best follow upThe follow-up is very fast and objective, they resolve doubts in a good way.Date of experience: August 16, 2023",4
remote.com,"Very friendly support with problem…Very friendly support with problem solving mentality, responses are very quickDate of experience: October 16, 2023",4
remote.com,"Thx Brigitte!Brigitte took care of my problem very professionally, thanks to her, contacting Remote is a pleasure;)Date of experience: July 27, 2023",4
remote.com,"Great customer serviceGreat customer service, consistent product, very user Friendly interface. Well doneDate of experience: August 09, 2023",4
remote.com,"Agent was very good kept on top of a…Agent was very good kept on top of a complicated issue.Date of experience: October 26, 2023",4
remote.com,"Simplify International Hiring and ContractingRemote has made my job much easier for hiring in the tech space.Date of experience: August 16, 2023",4
remote.com,"Horrible onboarding experience3 Onboarding Specialists & several tickets later, I now have a gap in my employment history due to their lack of professionalism.  December is a busy time for most people. It is also a month when people usually take vacations. Coincidentally, for me, December was also the month when I was supposed to receive my new employment contract from Remote, with my start date being January 1st, 2024. Between December 8th and January 2nd, 2024, the only updates I received were either that my Onboarding Specialists were chasing updates and they'd get back to me shortly, or they out of office notifications. Thus, I ended up with 3 different onboarding specialists and no contract until January 2nd. On January 2nd, in the evening, I finally received the long-awaited contract! Guess what? The start date was wrong, it was January 3rd - in the second half of December, my new manager informed Remote that my start date should be changed from January 3rd to January 1st.Not only was it the wrong start date on my contract, but they were now claiming that it could not be changed anymore because it would mean backdating the contract. To add to that, I had to sign the contract on the day else my start date would be pushed to a later one. So here I am, with a gap in my employment history because I left my previous role because I was supposed to start on January 1st in this new role. Now, I can only start on January 3rd.Let me just reiterate that during this whole time, starting with December 8th - January 2nd, all the information I received revolved around ""I am chasing updates"". The entire onboarding experience has been horrific and stressful. The lack of communication, constantly having to chase updates because people were not replying and/or going on vacation without letting me know that they'd refer the case to someone else so I'd have to open a new ticket, and the pressure to sign the contract on that evening elsewise they would have to push the startdate, this was an awful experience. I was employed via Remote before. Apart from a couple of mistakes in my contract, the onboarding experience was alright. They were corrected after I pointed them out. This time, however, the experience was nothing short of stressful and its results have nevatively impacted my pension&social contributions in the long run.Date of experience: January 02, 2024",4
remote.com,"Great reply serviceWhenever I have a question about payroll, I always get a swift and really clear reply from Uche! 5* for sure!Date of experience: September 08, 2023",4
