Plateforme,Avis,Notes sur 5
Deel,Amazing platform/experience,5
Deel,Deel a powerful tool.,5
Deel,"Work with anyone, almost anywhere",5
Deel,Amazing experience,5
Deel,Amazing One-stop HR service platform,5
Deel,"Great for payroll, terrible for anything beyond",5
Deel,Best for digital nomads,4
Deel,Happy User,5
Deel,"Quite good, fast, convenient",5
Deel,Simplify contracts and payment,5
Deel,Deel Review,5
Deel,"Deel is very easy to use, for a good price",4
Deel,My review,4
Deel,"Good, flexible and expensive",4
Deel,It’s easy to withdraw money from my balance.,4
Deel,Remote workers would love it!,4
Deel,Deel made my life BETTER,4
Deel,Thanks you Deel,4
Deel,Easy to use and full of features,4
Deel,Deel Experience,4
Deel,Must-use for any freelancer!,4
Deel,Deel review,5
Deel,Does the job but some hiccups along the way,4
Deel,Super User Friendly,5
Deel,My review,4
Deel,My Deel Experience,5
Deel,Excellent,5
Deel,Excellent tool to aid remote work compensation,5
Deel,Great coverage,5
Deel,It's worth it!,5
Deel,Deel User,5
Deel,Best way to Onboard & Pay International Talent,5
Deel,Deel,3
Deel,Deel as a Remote Work Payroll,5
Deel,My Feedback,5
Deel,Good plataform to receive money from another country,5
Deel,I always recommend Deel,4
Deel,Experience using Deel,4
Deel,Encourage yourself to use Deel for payroll in your company,4
Deel,Great for remote payroll,4
Deel,Great experience,4
Deel,Working as a contractor in Mexico for an american company,4
Deel,Its been a great experience overall!,4
Deel,Excellent!,4
Deel,Deel review,4
Deel,Keinen Support oder Ansprechpartner,4
Deel,Martin Aimar,5
Deel,Deel,5
Deel,Review Deel Services,5
Deel,Much better than the alternatives,5
Deel,Seamless to use!,5
Deel,Deel Payroll,5
Deel,"Deel starts off doing a good job, but shortly after they start to hold your money for no reason.",5
Deel,Very easy platform,5
Deel,Massive time saver,5
Deel,excellent and fast service for the user,2
Deel,Great system to manage global contractors.,5
Deel,Easy to use,4
Deel,Great Experience,5
Deel,Deel,4
Deel,General overview,5
Deel,Contratar y gestionar empleados internacionalmente,4
Deel,Fast payroll methods,4
Deel,Deel Review,4
Deel,I would recommend,4
Deel,Una plataforma facil de usar,4
Deel,Deel an easy to use payment platform,4
Deel,Deel Best plattform to get paid remotely from LatinAmerica,4
Deel,First time using payroll tools and was excellent,4
Deel,Muy buen servicio,4
Deel,Great product,4
Deel,Deel is the best,4
Deel,"My money is on time, anytime!",5
Deel,Super Recommended,5
Deel,Easy to use,5
Deel,Value for Money,5
Deel,Helped with everything when I didn't know anything.,5
Deel,Is a good service but needs to improve,5
Deel,Situation: when you send money to an account,5
Deel,Good experience,5
Deel,Deel Feedback,5
Deel,Great for startups needing international talent,5
Deel,Superb product,5
Deel,Scammers!!!,5
Deel,Great,5
Deel,My review,5
Deel,My walk with Deel :),4
Deel,Good place to get paid,4
Deel,Excelente,4
Deel,My review,4
Deel,A user's review,4
Deel,Its a great service. Highly recommended to use it compared to other services,4
Deel,Amazing product!,4
Deel,The way to go for receiving paymen,4
Deel,great app,4
Deel,Deel User Review,4
Deel,Deel Review,5
Deel,Easiest Payroll system yet,4
Deel,Review of Deel,5
Deel,Excellent platform,5
Deel,Deel is the best!,5
Deel,Worst Customer Service,5
Deel,Great and easy to use tool,5
Deel,Excellent product for managing overseas and remote contractors,5
Deel,Very good,5
Deel,Nunca tuve problemas con Dee,5
Deel,Frontend Developer in Latinamerica.,5
Deel,Will definitely recommend,5
Deel,Withdraw money,5
Deel,Deel's First Impressions,5
Deel,Deel Review,5
Deel,The only way I’d want to be paid,4
Deel,Review,4
Deel,Positive outcomes of Deel,4
Deel,Easy to use,4
Deel,You won’t have issues with your monthly payment!,4
Deel,Payroll,4
Deel,WDP Capitals rating of Deel,4
Deel,Great service for contractors,4
Deel,Deel is great!,4
Deel,Fast and convenient,4
Deel,My experience with Deel,5
Deel,Great!,4
Deel,Perfect platform for connecting contractors with employers around the world,5
Deel,We use and recommend Deel always,5
Deel,a service like no other!,5
Deel,"Great platform, easy to use",5
Deel,Deel is a good system,5
Deel,Deel Review,5
Deel,Deel is a true gem,5
Deel,Gets the job done,5
Deel,Easy to use employer of record for international hires.,4
Deel,Very satisfied,5
Deel,Nice experience with Deel!,5
Deel,"Excelent Software for managing, receiving payments and managing RH",5
Deel,Better than expected,5
Deel,Payroll product review,4
Deel,Good Platform for handling remote working payments,4
Deel,User,4
Deel,Great Platform!,4
Deel,"Deel global payroll service: reliable, efficient, and user-friendly",4
Deel,Great payroll software!,4
Deel,Best way to get paid while working remote,4
Deel,Good,4
Deel,Opened up a world of opportunity,4
Deel,Simple and effective,4
Deel,Deel is a good and easy platform to use,4
Deel,Deel is the way to go!,4
Deel,Excellent for managing payments,3
Deel,Deel has been a GAME CHANGER for CloudX!,5
Deel,Deel is my favorite payroll company because,5
Deel,Buen Trabajo,5
Deel,Deel Review,5
Deel,Thanks deel to be there!,5
Deel,Review,5
Deel,Great product,5
Deel,Intuitive and complete tool,5
Deel,Deel is good for management world-wide contractors but not a user-friendly platform,4
Deel,Very helpful,5
Deel,The best tool to receive payroll internationally,5
Deel,Simplifying remote working,5
Deel,DEEL for independent,4
Deel,So simple and works,4
Deel,The best option for remote work payments,4
Deel,Helping to Deel,4
Deel,Best Payroll Management system,4
Deel,Deel review,4
Deel,"Nice, Easy, Simple",4
Deel,Uso de deel,4
Deel,Great solution to avoid headaches,4
Deel,Why i cant have deel card ?,4
Deel,According to my experience,5
Deel,Great platform to manage my details,5
Deel,Review,5
Deel,Liked the product!,5
Deel,sebas review,4
Deel,Incredibly useful and easy to use,5
Deel,Amazing tool,5
Deel,Great product,4
Deel,Happy Deel User,5
Deel,Easy to use and get started!,5
Deel,Best Contractor Payroll,4
Deel,Compensation & Benefit Manager (NA&EMEA),4
Deel,Finance Review,4
Deel,Easy to start up internationalisation with,5
Deel,Deel Facilities,5
Deel,Deel made international hiring quick and simple.,4
Deel,Great for nearshore employees,4
Deel,Importance of Deel,4
Deel,excellent,4
Deel,Deel makes payroll easy.,4
Deel,Really great product!,4
Deel,Good deal,4
Deel,Nathani review,4
Deel,My Deel Adventure,4
Deel,Deel Review,4
Deel,Recommended,5
Deel,First Time User,5
Deel,Deel will do your life easier,5
Deel,Great option for paying contract workers,5
Deel,Overall review,5
Deel,Easy and convenient way to receive salary from abroad,5
Deel,Deel is very Fast!!!,4
Deel,Great option for remote work,5
Deel,Great product for companies trying to hire overseas without hassle,4
Deel,Great platform!,5
Deel,Review HRM,4
Deel,"Great option to make payroll easier for everyone, everywhere!",5
Deel,Deel is the real deal,5
Deel,therapist review,5
Deel,Ease to use app for contractor's contracts management,4
Deel,Reseña,4
Deel,Good platform,4
Deel,Great Tool for Remote Workers Worldwide,4
Deel,Great service,4
Deel,"If you have to pay people abroad without stabbing fees, Deel is it.",4
Deel,Very easy to use!,4
Deel,Experience using Deel,4
Deel,Amazing way to connect remote workers with companies across the globe,4
Deel,Colombian Review,4
Deel,Very satisfied,4
Deel,deel,5
Deel,"Deel is very easy to use, awesome UX and features.",4
Deel,Deel Review,5
Deel,Deel platform review,5
Deel,simple and clever,5
Deel,Great solution for a fully remote & international companies,5
Deel,Easy to use and employees get paid fast!,5
Deel,Permanent issues,5
Deel,Servicio de confianza y simpleza,4
Deel,Deel is really good,4
Deel,Highly recommend,5
Deel,Easy to use,5
Deel,simless hr solution,5
Deel,Perfect for what it does,5
Deel,User feedback,5
Deel,Nice. Would recommend!,4
Deel,Possibly the best payroll service,4
Deel,Deel Wins,4
Deel,Awesome is Deel!,4
Deel,Review Tomas Matta Chorus One,4
Deel,Ease of use,4
Deel,One stop solution for contract and payment management IMO,4
Deel,Good reliable platform to send and receive money from the project work,4
Deel,Probably the best solution for managing contractors,4
Deel,I use Deel for remote work payment,4
Deel,My Review,5
Deel,The excellent platform,4
Deel,"Easy, fast, hassle free",5
Deel,Great platform,5
Deel,deel review,5
Deel,Excellent service,4
Deel,Great product,5
Deel,Good and Bad points to use Deel,5
Deel,Happy with the services provided till now.,5
Deel,Great tool for contractors,5
Deel,Good experience,4
Deel,Deel is Super user friendly platform,5
Deel,The world is your talent pool,4
Deel,Deel makes payment easy,5
Deel,Payroll mostly,5
Deel,Great tool for employing contractors,4
Deel,Love Deel!,4
Deel,One of the best Payroll Management Tool,4
Deel,Excellent for Contract Management and International Payroll Processing,4
Deel,What Feel offers,4
Deel,Great deal!,4
Deel,My Deel experience review,4
Deel,Contrator point of view,4
Deel,Review by [sensitive content hidden],4
Deel,Deel,4
Deel,Good Support and User Friendly,4
Deel,Great Option!,5
Deel,Incredible,5
Deel,Fast payments,5
Deel,Amazing,5
Deel,Feedback about Deel.,3
Deel,"Smooth, breezy - I love Deel!",5
Deel,User from Canada,5
Deel,Small but good experience with deel,5
Deel,Practical platform for overseas contracting,5
Deel,Best payroll platfrom out there,3
Deel,Great for hiring around the world,5
Deel,Simplified Payment System “Deel”,5
Deel,Fast and reliable,5
Deel,One in all app for remote payments solutions,5
Deel,Great!,4
Deel,Amazing platform to get your money,4
Deel,Great way to pay your remote people,4
Deel,Very satisfied,4
Deel,Satisfied,4
Deel,Love it,4
Deel,Deel is an excelent option to remote wolrking pay,4
Deel,Personal feel on Let's deel using experience,4
Deel,its been a wonderful Experience honestly with deel,4
Deel,Incredible application to handle your money as contrractor,4
Deel,Services Evaluation,5
Deel,Worst,5
Deel,Deel interaction,5
Deel,Review,5
Deel,Excelent Company,5
Deel,Good customer support,5
Deel,"Good application, easy to use",5
Deel,Great service for Payroll,5
Deel,10/10,5
Deel,Personal Review,5
Deel,Deel for Payment Flexibility,5
Deel,Review Moises,1
Deel,Deel review,5
Deel,"Safe, Fast and Reliable",5
Deel,Deel Review,5
Deel,Not everything so is smooth - Good payroll system with bad support team,4
Deel,Just what I needed!,4
Deel,Awesome experience,4
Deel,Great platform for independent consultants :),4
Deel,Easy and Fast,4
Deel,app digital,4
Deel,Review,4
Deel,Recommend Deel to startup with multi subsidiaries,4
Deel,Boa Avaliação,4
Deel,Deel: The King of Payroll System,4
Deel,Review for DEEL,3
Deel,My Review,5
Deel,Funciona muy bien,5
Deel,Deel is highly efficient,5
Deel,The easiest platform to use,5
Deel,Say goodbye to headaches to recruit international employees,5
Deel,LPX Deel Review,4
Deel,Issues to improve,5
Deel,Great tool to employees and eployeer,5
Deel,Great product,5
Deel,Deel feedback,5
Deel,Withdrawal,5
Deel,Growth Mindset,5
Deel,They are of no help for their users,5
Deel,My Review,5
Deel,Clear Pros and Cons,4
Deel,deel is very good company,4
Deel,Effortless Document Management and Instant Transfers,4
Deel,Good Tool for Payroll Management,4
Deel,Very good,4
Deel,Easy to implement and use,4
Deel,Amazing,4
Deel,Its a good Deel,4
Deel,Miss Beverly,4
Deel,Intuitive to use and has great features,4
Deel,My Deel Experience,3
Deel,Gerardo Review,5
Deel,Very good transfer service,5
Deel,Transfer review,5
Deel,Effortless Banking Integration,4
Deel,Great for Digital Nomads,4
Deel,Fantastic,5
Deel,I just used Deel as I was paid a foreign employee,5
Deel,Good Support for International Employees,5
Deel,Impressions,5
Deel,I love Deel,5
Deel,Deel: easy life,5
Deel,"Great platform, needs more instructions to use it properly or deeply",5
Deel,Feel review,5
Deel,Review of Deel,5
Deel,Deel - Ease of use,4
Deel,a good software for remote employees,4
Deel,The best remote payment tool,4
Deel,Expensive with few perks,4
Deel,Best option out there!,4
Deel,Great Solution,4
Deel,Easy all round contractor management platform,4
Deel,Congratulations,4
Deel,I love Deel!,4
Deel,Deel is better in transactions,4
Deel,Review,5
Deel,Excellent experience,5
Deel,''Fastest and the best payroll for remote jobs'',5
Deel,Amazing product!,2
Deel,The pricing is too high and my bank deducts me a lot of money that my client has to pay for,5
Deel,my review,4
Deel,Works well from receiving contractor side!,5
Deel,Deel Review,5
Deel,Deel Review,5
Deel,Great payroll app for remote workers!,4
Deel,Awesome product,5
Deel,Awesome Experience,5
Deel,Great for international teams,4
Deel,Highly-recommended especially for Freelancers like me,5
Deel,Deel Product Review,3
Deel,Easy to handle,4
Deel,Would choose again!,4
Deel,Deel for Contractors,4
Deel,Easy and fun,4
Deel,Best solution in the market,4
Deel,First time user review,4
Deel,Deel Review,4
Deel,Global freelancing made easy,4
Deel,Cool software,4
Deel,Thanks to Deel I can do my remote work without worrying.,4
Deel,Easy withdraw,5
Deel,Deel makes remote work and getting paid seamless.,4
Deel,Super easy for contractors!,5
Deel,Great payroll software,5
Deel,Super Easy,5
Deel,Amazing Customer Service,5
Deel,User,5
Deel,Buena plataforma de pagos,3
Deel,quick withdrawals,5
Deel,Payout,4
Deel,My Deep Review,5
Deel,My experiences,5
Deel,Deel is easily useable by all the users.,5
Deel,Very power full instrument to control and get your salary,5
Deel,Nicolás Horenstein Review,5
Deel,Awesome,4
Deel,"Keep your workers happy, use Deel!",4
Deel,Quick and easy !,4
Deel,My review,4
Deel,Invoice Payment,4
Deel,Very easy to transfer money,4
Deel,Easy to use,4
Deel,Sensational Deel,4
Deel,Pagos fáciles y transferencias sin problema,4
Deel,Cemil,4
Deel,Amazing service,5
Deel,Happy using deel,5
Deel,Very good,5
Deel,Great platform for remote workers!,4
Deel,Good experience,4
Deel,Easy to use and fantastic customer support!,5
Deel,Thanks Deel,5
Deel,Mal servicio de atención al cliente,5
Deel,awesome payroll services,5
Deel,Some companies just don't get it!!!,4
Deel,First payroll receive from Deel,5
Deel,The support is amazing,5
Deel,Our experience with Deel,5
deel.com,"Caring of its CommunityI truly regret having had a bad opinion about Deel due to my very slightly delayed withdrawal on Payoneer. Their management immediately reached out to me and fixed the issue in no time, besides, they also refunded me a withdrawal fee as a sign of courtesy. I've been using it for a year with no issues, so my expectations were too high. Thank you, Deel!Date of experience: February 28, 2024",5
deel.com,"Easy transfersEasy transfers. My pay stopped being late after my company switched to Deel, plus transfers to your personal banks are same day, infact they literally take 1 minute☺️Date of experience: February 28, 2024",5
deel.com,"The best platform for remote contractsDeel is the best platform for remote contracts that I have ever tried. Offers seamless withdrawals and contract management. With ever expanding new features being offered, I will have no reason to switch for the foreseeable future.Date of experience: February 29, 2024",5
deel.com,"Be prepared to pay a lot!I have been using the services of this company for a little over 6 months.I will refuse their service as the prices for labor contracts are very high = $599 per month. Also, read their contracts very carefully as there is a clause that if you terminate the labor contract earlier than 6 months from its beginning you will pay setup fee = $599.I do not recommend working with this company.Date of experience: February 26, 2024",2
deel.com,"Getting jobs as a freelancer is easyGetting jobs as a freelancer is easy and simple. There's no need to go on tedious job seeking sites, because all I have to do is to put my skills on the platform and then I am hired by people that look for similar talents.Date of experience: February 28, 2024",5
deel.com,"What an amazing way to expedite payment…What an amazing way to expedite payment processes and the fact you can set up your own payment method even as with Bitcoin ! Awesome ! Date of experience: February 28, 2024",5
deel.com,"Pretty intuitive UI and everything is…Pretty intuitive UI and everything is laid out in a practical way. From day one I didn't meet any difficulties using the platform, and the customer support was always by my side.Date of experience: February 27, 2024",5
deel.com,"A happy cuostomerI have been using deel for the past 2 years and my experience has been simply amazing, their support is top notch, their response to request, everything is so superb.Date of experience: February 29, 2024",5
deel.com,"I contacted support as I was having a…I contacted support as I was having a problem adding my bank account to withdraw my salary and my email was answered fast and the problem is solved quicklyDate of experience: February 29, 2024",5
deel.com,"It works perfectly even in countries…It works perfectly even in countries outside EU and USA. Both legal compliance and tax brackets are adjusted accordingly so there is no issue with employing remote workers from ""third world"" countires.Date of experience: February 24, 2024",5
deel.com,"What made my experience great on this…What made my experience great on this platform is not only the easy of use but also the extremely supportive staff. Most of the functionalities here can be a bit tricky to learn, so you will need all the help you can get. Deel has thought about it has provided us with good customer service.Date of experience: February 22, 2024",5
deel.com,"Super Helpful and Responsive!I recently had to log a support ticket and needed help transferring ownership of one DEEL account to another. Jovan on the support team was absolutely incredible to deal with. He was prompt, responsive and was so thorough in his feedback and guidance along the way. True top notch service! Thank you DEEL team.Date of experience: February 21, 2024",5
deel.com,"Great experience with customer serviceI've had a great experience with customer support. Very friendly and helpful personnel. No matter how dumb my questions might be, the staff always answers correctly and professionally. So far, there have been 0 issues that haven't been solved.Date of experience: February 20, 2024",5
deel.com,"I think people underestimate how much a…I think people underestimate how much a software like this can solve most of their operational issues. The platform performs the work of three people and handles the most difficult parts of HR management by itself. It's like the whole process is automated. Simply fantastic.Date of experience: February 19, 2024",5
deel.com,"Ease of useEase of use is the most important thing for any application, and Deel excels in that.Date of experience: March 01, 2023",5
deel.com,"I can't stress out enough how much…I can't stress out enough how much beneficial this platform has been for my business. Not only it is free for me because I run a small organization, but it also performs the work of three people. Simply amazing.Date of experience: February 20, 2024",5
deel.com,"I appreciate how easily and timely my…I appreciate how easily and timely my payroll is processed. The platform really focuses on efficiency, friendly UI, and proper functionality. I think using Deel, is indeed the smartest choice.Date of experience: February 21, 2024",5
deel.com,"I recommend deel for sure, easy to use, the best in the internetI certainly recommend Deel, it is the best tool I have ever used to receive and pay clients, the way you can manage your account is pretty easy to use and faster to perform every action. Date of experience: February 23, 2024",5
deel.com,"DEEL onboardingReally had great experience at the time of onboarding, Happy to be part of DEEL. Some solutions are so easy to use that you love the user interface so much and wish all complex solutions might have the same resolution.Date of experience: February 19, 2024",5
deel.com,"I'm very happy with the help I got from…I'm very happy with the help I got from support today. My withdrawal method was removed and Christina fixed it within few mins. Date of experience: February 26, 2024",5
deel.com,"Camilo was very patient and walked me…Camilo was very patient and walked me through the process step by step. He made sure that I understood the process so patiently explained and taught me the process.Date of experience: February 22, 2024",5
deel.com,"Late tax reportingI was quite happy with Deel until started experiencing issues with them reporting tax to HMRC late. This would happen every few months and would mess up my Universal Credit payments. This meant time and money spent on fixing the problem each time. Customer service failed to give clear reason for lateness or suggested any solutions. Not helpful.Date of experience: February 12, 2024",2
deel.com,"Outstanding supportOutstanding support! He went above and beyond!Thanks Philip!Date of experience: February 29, 2024",5
deel.com,"It's a good platformIt's a good platform, really. And as long as it works and serves its purpose I'm fine with it. I think the biggest advantage of Deel, is the tax compliance such as automated forms 1099, W8, W9 etc.Date of experience: February 23, 2024",5
deel.com,"Great service Great application, saves the progress and u can always come back later and continue.Date of experience: February 28, 2024",5
deel.com,"Stole $10K+ from small business & overcharged interest on invoicesDo not sign up for Deel as an employer of record for your company!  We had two deposits with Deel as we used them for our Employer of Record.  After we completed our contracts and asked Deel to apply our deposit to our final invoices, we never heard back from the customer success team.  We attempted to contact them for many months about this.  During that time, Deel charged interest on the unpaid invoices.  We therefore went ahead and paid the final invoices for our account so that they would in turn return our deposit.  They only repaid a portion of one deposit.  We have been contacting them weekly for more than 4 months now and they have still not returned our deposit.  This is a serious fraud and unfair given the interest charged on our previously unpaid final invoices given they have not held up their end of the bargain and repaid our deposit once we closed our account AND completed the payments including for the unfair interest charged.  The total they have not refunded us is over $10,000!!Date of experience: January 01, 2024",1
deel.com,"Its easy to usedIts easy to used, and is the first time I don't feel like im being robbed,  there are no hidden  feesDate of experience: September 26, 2023",5
deel.com,"Easy peezy I am six months into…Easy peezy I am six months into figuring out passive and residual incomes and paths of each this app was simple and fastDate of experience: February 21, 2024",5
deel.com,"Satisfied with DeelI think Deel has satisfied our organization's needs. It's much better when compared to other services because it offers more and is cheaper. So far it has served us well and I hope it will continue to do so.Date of experience: February 14, 2024",5
deel.com,"A very useful toolAs a company, we gave it a try and found out that it's a very useful tool. Once a contractor signs up the legal compliance of their contract is handled by Deel, so we don't have to worry it. The same goes for the tax brackets. Even if there is an issue, customer support can easily solve it.Date of experience: February 13, 2024",5
deel.com,"Higher productivity with deelMost of our staff is remote workers. Letting Deel handle the administrative tasks has removed a big weight from our budget and resourcing. As a result, the running costs in our small firm have been reduced while productivity is higher than ever.Date of experience: February 08, 2024",5
deel.com,"Absolutely fantastic platformAbsolutely fantastic platform! It was easy to set up and ready to go in just a few minutes. Deel's staff is very knowledgeable and expert in their field, and they solve any inconvenience I might have.Date of experience: February 15, 2024",5
deel.com,"O-1s, really great experienceWe went to Deel for help with two co-founder O-1 Visas, Ahmed was a great help. Patient, took the time to explain things and review our situation, and could tell he just genuine cared for us as clients. We had a unique case, that included EORs, and needing to prepare documents beforehand, and he always had a quick and insightful answer for us. Overall would recommend Deel and Ahmed for any O-1 needs, they really do run a great shop.Date of experience: January 01, 2024",5
deel.com,"Very happy with deel.Very happy with deel.. I am having a great time using it and I can also advance my pay.. thank you so much deel!! I used it for an emergency..Date of experience: February 27, 2024",5
deel.com,"Deel is very easy to use i like how…Deel is very easy to use i like how straigjforward their features is!Date of experience: February 27, 2024",5
deel.com,"all good an well very practical easy to…all good an well very practical easy to use, user friendly Date of experience: February 29, 2024",4
deel.com,"Game Changer for Remote WorkVery good platform for managing our global remote workers. Normally, it would be almost impossible to have everybody on board regardless of location. Dealing with contracts, legal compliance, teaxes etc. it's just the tip of the iceberg. At least with Deel, almost everything can be done automatically.Date of experience: February 05, 2024",5
deel.com,"Impressive Dashboard, Great Local SupportDeel has an excellent dashboard where I can find all the information I need. If I need more local support, Deel puts me in touch with their local team quickly and is able to get me the information I need.Date of experience: February 05, 2024",5
deel.com,"The onboarding guide is quite clear and…The onboarding guide is quite clear and easy to follow.Date of experience: February 27, 2024",5
deel.com,"excellent supportI had a complicated issue and my friend Elias was patient and took time to understand my issues despite both of us starting from scratch. He helped me solve those issues to the extent that instead of going to bed I wanted to thank him publicly. Give him a raise 😃Date of experience: February 09, 2024",5
deel.com,"Convenient and Safe Platform.Hello, everyone!It's convienient and safe to work on deel platform.And withdrawing money is really fast, when I withdraw money to paypal, the process done immedietely. And support team helped me change my primary email. He was Sergio Andres Jaimes Lopez. He is really polite, kind, sencere and helpful.It's absolutelly really helpful.Cheers and use deel.Thanks.Date of experience: February 04, 2024",5
deel.com,"Professional Business PartnerDeel has show a high level of ownership and professionalism throughout my process. They are just one email away from any support needed. In a nutshell, they are a reliable partner for HR and payroll management services.Thank youDate of experience: February 06, 2024",5
deel.com,"DEEL - a game changerDEEL has been a game changer for us. From contracting without contracts and handling payments via conventional bank transfer, Western Union and cash deposits. Now we are handling it all in matter of minutes, no more late payments, no more remembering.Date of experience: February 06, 2024",5
deel.com,"Very responsive customer support and…Very responsive customer support and very helpful staff. All my questions are answered within minutes, which makes me feel appreciated as a customer.Date of experience: February 19, 2024",5
deel.com,"Highly recommended for founder trying to figure out immigrationFiguring out immigration as a founder is no walk in the park. Obviously, there is some inherent stress in dealing with any complex system, but it's more than that. As a YC founder, every second you are thinking about something other than your company is a second wasted. So you have to figure out how to get immigration right without losing focus. Thankfully Deel and Ahmed Mousa have been amazing allies in navigating this whole process. Always on the ball, Ahmed has answered my endless questions with patience, and there have been a ton of them. He has helped me quickly understand my options and find the best path forward. His mix of professionalism and genuine care for his clients is something you don't see every day. Big shoutout to him for being a fantastic partner in my journey and making me feel like I have a friend in the process. If you're founder trying to figure out U.S. immigration, Ahmed's your man. Hats off to him and the Deel team for helping me go through this without losing focus!Date of experience: February 09, 2024",5
deel.com,"I 💯 love deelI 💯 love deel. I once had an issue on onboarding. Customer service was always on my case and with their help I was successful in receiving my pay through deel. I have not had a problem ever since. Thanks deel, keep up the good service💪❤️Date of experience: February 14, 2024",5
deel.com,"Makes paperwork, a breeze!The onboarding is flawless, it all makes paperwork a breeze. I'm glad this service exists!Date of experience: February 21, 2024",5
deel.com,"Fantastic payment system fast and easy…Fantastic payment system fast and easy to use.  Amazing customer support as well, payments comes quick to your bank. I am definitely recommending Deel for payment services.Date of experience: February 15, 2024",5
deel.com,"The support given was amazingThe support given was amazing! I was able to solve my issue quickly thanks to the help given by Richard from Deel. The way I was treated was also very kind and thoughtful.Would recommend!Date of experience: February 17, 2024",5
deel.com,"Nice experienceQuite intuitive and easy to useDate of experience: February 29, 2024",5
deel.com,"Compared to alternative servicesCompared to alternative services, Deel has been the best choice. For small organizations it's free, so our firm has benefited from it. So far so good, everything is working smooth.Date of experience: February 07, 2024",5
deel.com,"Clear and transparent workflow in DeelClear and transparent workflow in Deel. You how much time you worked, how much you will get paid and when. Highly recommend it!Date of experience: February 21, 2024",5
deel.com,"Best customer support serviceBest customer support service I have ever had the pleasure of being able to have helped me with any and all my issues, advance payments are a perk and all in all a very well app to get paid from any part of the world! I am so glad I have had the opportunity to use this app highly recomended and extremely efficiant!Date of experience: February 08, 2024",5
deel.com,"My onboarding experience with Deel was…My onboarding experience with Deel was excellent. It was straightforward, easy, and pretty user-friendly. The platform itself was very friendly and supportive throughout the process, which made getting started with it a breeze.Date of experience: February 12, 2024",5
deel.com,"For me Deel has been the solution of…For me Deel has been the solution of many problems regarding staff managment and especially time consuming, I highly recommend!Date of experience: February 25, 2024",5
deel.com,"Secure and easy-to-use HR Platform!!!!Date of experience: February 29, 2024",5
